Date,Open,High,Low,Close,Adj Close,Volume
2021-05-28,240.020004,240.089996,238.190002,238.899994,238.899994,240968
2021-05-31,239.000000,240.880005,237.509995,238.000000,238.000000,113561
2021-06-01,238.699997,238.699997,234.500000,234.500000,234.500000,584157
2021-06-02,235.970001,236.449997,231.039993,232.899994,232.899994,528967
2021-06-04,232.259995,233.399994,231.199997,231.710007,231.710007,266278
2021-06-07,232.270004,232.830002,230.009995,231.460007,231.460007,337751
2021-06-08,232.000000,232.800003,229.639999,231.470001,231.470001,151840
2021-06-09,231.809998,233.750000,231.119995,232.000000,232.000000,287481
2021-06-10,232.270004,234.270004,231.699997,234.100006,234.100006,538892
2021-06-11,234.720001,237.399994,234.250000,237.399994,237.399994,358671
2021-06-14,235.500000,235.500000,232.500000,234.899994,234.899994,216894
2021-06-15,234.899994,235.270004,232.119995,232.899994,232.899994,157086
2021-06-16,232.899994,232.899994,229.639999,232.800003,232.800003,239000
2021-06-17,231.800003,231.880005,228.699997,230.199997,230.199997,193180
2021-06-18,228.500000,230.789993,226.229996,229.399994,229.399994,310220
2021-06-21,229.210007,230.839996,228.350006,230.000000,230.000000,713466
2021-06-22,230.440002,231.179993,228.419998,229.990005,229.990005,230627
2021-06-23,229.000000,229.750000,227.710007,228.000000,228.000000,226589
2021-06-24,228.250000,229.070007,226.699997,226.699997,226.699997,346042
2021-06-25,227.419998,230.990005,227.259995,228.600006,228.600006,339978
2021-06-28,229.929993,230.699997,228.910004,229.699997,229.699997,126613
2021-06-29,229.759995,231.850006,229.270004,229.699997,229.699997,248923
2021-06-30,231.800003,234.199997,231.149994,232.500000,232.500000,436425
2021-07-01,232.500000,236.899994,231.410004,236.199997,236.199997,470671
2021-07-02,235.410004,239.320007,234.669998,238.100006,238.100006,309709
2021-07-05,239.080002,240.199997,238.500000,239.199997,239.199997,166015
2021-07-06,240.000000,245.850006,240.000000,245.199997,245.199997,421835
2021-07-07,245.779999,249.559998,245.360001,248.949997,248.949997,554998
2021-07-08,247.050003,247.699997,244.899994,247.000000,247.000000,330604
2021-07-12,248.630005,249.679993,245.899994,247.000000,247.000000,336350
2021-07-13,247.429993,247.839996,245.210007,246.500000,246.500000,108767
2021-07-14,243.009995,244.649994,240.869995,242.210007,242.210007,390755
2021-07-15,240.750000,242.699997,240.320007,242.300003,242.300003,167951
2021-07-16,242.300003,243.279999,239.820007,241.399994,241.399994,215242
2021-07-19,241.399994,242.649994,239.149994,242.300003,242.300003,459195
2021-07-20,244.589996,246.389999,244.070007,246.389999,246.389999,295967
2021-07-21,247.289993,248.869995,245.009995,246.350006,246.350006,244805
2021-07-22,245.800003,248.869995,245.270004,248.869995,248.869995,162103
2021-07-23,246.679993,250.500000,245.949997,249.649994,249.649994,469079
2021-07-26,249.479996,249.929993,246.940002,248.979996,248.979996,385925
2021-07-27,248.979996,249.000000,245.399994,248.899994,248.899994,291592
2021-07-28,247.470001,247.750000,244.610001,244.669998,244.669998,250099
2021-07-29,243.750000,244.500000,242.339996,244.500000,244.500000,413347
2021-07-30,243.770004,250.350006,242.610001,250.350006,250.350006,718819
2021-08-02,247.500000,249.000000,244.550003,249.000000,249.000000,652115
2021-08-03,250.350006,251.500000,248.750000,249.800003,249.800003,386030
2021-08-04,248.899994,250.880005,247.509995,248.729996,248.729996,141742
2021-08-05,247.000000,252.000000,245.270004,251.300003,251.300003,634833
2021-08-06,252.300003,253.789993,250.990005,253.500000,253.500000,173325
2021-08-09,252.300003,255.080002,250.990005,252.729996,252.729996,259352
2021-08-10,252.729996,253.630005,250.240005,250.800003,250.800003,264356
2021-08-11,250.500000,253.100006,250.199997,253.100006,253.100006,362572
2021-08-12,252.940002,255.300003,252.020004,254.899994,254.899994,475907
2021-08-13,254.880005,256.390015,253.399994,254.889999,254.889999,381515
2021-08-16,254.850006,257.000000,252.119995,257.000000,257.000000,321778
